meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
90.0,Yakuza 0,XONE,"Feb 26, 2020",8.2,/game/xbox-one/yakuza-0,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
82.0,Two Point Hospital,PS4,"Feb 25, 2020",7.3,/game/playstation-4/two-point-hospital,E10+,['Two Point Studios'],"['Simulation', 'Strategy', 'Management', 'Virtual', 'Career', 'Business / Tycoon']"
84.0,Two Point Hospital,XONE,"Feb 25, 2020",6.7,/game/xbox-one/two-point-hospital,E10+,['Two Point Studios'],"['Simulation', 'Strategy', 'Management', 'Virtual', 'Career', 'Business / Tycoon']"
85.0,Two Point Hospital,Switch,"Feb 25, 2020",8.2,/game/switch/two-point-hospital,E10+,['Two Point Studios'],"['Simulation', 'Strategy', 'Management', 'Virtual', 'Career', 'Business / Tycoon']"
83.0,Sega Ages: Sonic the Hedgehog 2,Switch,"Feb 20, 2020",7.9,/game/switch/sega-ages-sonic-the-hedgehog-2,E,"['Sonic Team', ' M2']","['Action', 'Platformer', '2D']"
79.0,Sega Ages: Puyo Puyo 2,Switch,"Feb 20, 2020",7.8,/game/switch/sega-ages-puyo-puyo-2,E,"['M2', ' Compile']","['Puzzle', 'Matching']"
85.0,Bayonetta & Vanquish,PS4,"Feb 18, 2020",9.5,/game/playstation-4/bayonetta-vanquish,M,['PlatinumGames'],"['Miscellaneous', 'Compilation']"
83.0,Bayonetta & Vanquish,XONE,"Feb 18, 2020",9.5,/game/xbox-one/bayonetta-vanquish,M,['PlatinumGames'],"['Miscellaneous', 'Compilation']"
81.0,Bayonetta,PS4,"Feb 18, 2020",7.4,/game/playstation-4/bayonetta,M,['PlatinumGames'],"['Action Adventure', 'Linear']"
77.0,Vanquish,PS4,"Feb 18, 2020",9.6,/game/playstation-4/vanquish,M,['PlatinumGames'],"['Action', 'Shooter', 'Third-Person', 'Arcade']"
77.0,Yakuza 3 Remastered,PS4,"Feb 11, 2020",7.4,/game/playstation-4/yakuza-3-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
82.0,Yakuza 5 Remastered,PS4,"Feb 11, 2020",7.9,/game/playstation-4/yakuza-5-remastered,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
78.0,Sega Ages: Shinobi,Switch,"Jan 23, 2020",8.5,/game/switch/sega-ages-shinobi,E10+,"['Sega', ' M2']","['Action', 'Platformer', '2D']"
84.0,Sega Ages: Fantasy Zone,Switch,"Jan 23, 2020",8.2,/game/switch/sega-ages-fantasy-zone,E,"['M2', ' Rutubo Games']","['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']"
71.0,Football Manager 2020 Touch,Switch,"Dec 10, 2019",8.2,/game/switch/football-manager-2020-touch,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
83.0,Alien: Isolation,Switch,"Dec 5, 2019",8.6,/game/switch/alien-isolation,M,"['Creative Assembly', ' Feral Interactive']","['Action Adventure', 'Survival']"
84.0,Football Manager 2020,PC,"Nov 18, 2019",6.2,/game/pc/football-manager-2020,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
